accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.1616,0.4084,0.29272110804018336,-4.827767983534919,20,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.174,0.434,0.3095561646290798,-6.479839402181272,50,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0852,0.2408,0.1833780449075649,-4.253587404581507,1,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1104,0.33,0.23182281975609006,-4.319857877737334,5,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1576,0.4044,0.2862538732429126,-4.879674017991391,20,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.17,0.438,0.30366199554004886,-7.326787380912859,50,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0772,0.2432,0.17722864302307598,-4.100328197569608,1,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1128,0.3088,0.22619472571270174,-4.226030795330395,5,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1552,0.3836,0.2797514007539358,-4.870174045261248,20,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1832,0.4308,0.31484928782314314,-6.952874242660424,50,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.074,0.2088,0.16530876408398817,-4.212693536501039,1,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1096,0.3088,0.22405778770616452,-4.271775286814446,5,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.156,0.388,0.28145556566675145,-4.81100996779574,20,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1684,0.4356,0.30468339236015785,-5.373318144164115,50,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0748,0.2144,0.16553132402765783,-4.290891242290023,1,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1,0.3008,0.21290544852639176,-4.441427189758125,5,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1392,0.3944,0.27110213691162266,-4.973040112451428,20,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1696,0.438,0.3055806777261486,-8.340146390668309,50,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0648,0.2256,0.1634489210638178,-4.172019387158871,1,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1068,0.3076,0.2204025917810478,-4.336605881111675,5,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1468,0.3864,0.27270284132201666,-5.250411909653293,20,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1676,0.4364,0.3030472356549713,-7.742977315882381,50,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0896,0.2304,0.1832873684238059,-4.176482610372426,1,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1208,0.3284,0.23736682288941152,-4.304007386585608,5,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1444,0.3992,0.27672730346437235,-5.273075931060775,20,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1676,0.4408,0.3059664241379596,-7.6375058421160835,50,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.068,0.2196,0.16551252448950127,-4.128544690085984,1,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.106,0.3152,0.22195830444235748,-4.309222901543037,5,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1452,0.396,0.27547752018335014,-5.106979250608836,20,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1724,0.4352,0.306425254849219,-7.6195198897615946,50,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.2072,0.14627424630453684,-4.453813869154602,1,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1172,0.312,0.22661940506520908,-4.340334819975061,5,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1528,0.4056,0.2848460516261837,-5.329810024175098,20,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1628,0.4344,0.30204961624926424,-8.831333377518561,50,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.2392,0.18059959872621958,-4.107820436923172,1,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1084,0.3024,0.2207450567491886,-4.373141133048562,5,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1488,0.402,0.28090211421030603,-5.0918595696357505,20,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.164,0.4268,0.29819881131724124,-7.634806623705308,50,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.07,0.218,0.1680910439064087,-4.220359623216185,1,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1136,0.3124,0.22706924445211388,-4.48618395022364,5,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1608,0.408,0.2891925990317171,-5.108218981084538,20,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1696,0.4448,0.31023262562797344,-7.762502159666703,50,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
